,ID_tab,ID_zam,Zamestnanie,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25
147,148,1873,bodový zvárač/bodová zváračka,0,6,18,0,2,8,1,7,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0
148,149,493,bookmaker/bookmakerka,0,4,0,0,7,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
149,150,1068,botanik/botanička,0,3,0,0,6,1,10,0,0,1,1,0,0,0,7,0,0,1,0,1,0,0,0,0,0
150,151,1969,BOZP špecialista/BOZP špecialistka,1,13,7,0,12,0,2,0,0,2,11,0,0,1,3,0,0,7,0,0,1,1,1,0,0
151,152,2534,brusič a leštič kovov/brusička a leštička kovov,0,6,16,0,2,0,1,7,0,1,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0
152,153,756,brusič dreva/brusička dreva,0,8,10,0,2,3,1,9,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
153,154,376,brúsič kovov/brúsička kovov,4,8,21,0,4,2,1,5,0,1,1,0,6,6,3,0,0,0,0,0,0,0,0,0,0
154,155,1436,brusič/brusička drahých kameňov,0,11,3,0,4,2,0,14,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0
155,156,2406,brusič/brusička kameňa,0,9,4,0,3,2,1,12,0,1,1,0,1,8,0,0,0,1,0,0,0,0,0,0,0
156,157,1636,brusič/brusička nástrojov,0,3,12,0,1,0,2,9,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
157,158,1768,burzový maklér/burzová maklérka,0,12,0,0,9,0,2,0,0,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
158,159,1649,CAD konštruktér/konštruktérka v odevnej výrobe,0,4,6,0,3,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,2,0,1,0,0
159,160,1236,CAD kreslič/kreslička,41,1,5,0,16,0,1,1,0,0,0,0,8,0,3,0,0,0,0,1,6,0,0,0,0
160,161,807,CAD modelár obuvi/CAD modelárka obuvi,0,1,9,0,9,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
161,162,1461,CAD modelár odevov/CAD modelárka odevov,0,8,10,0,7,0,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0
162,163,522,CAD modelár/CAD modelárka kožiarskych výrobkov,0,2,7,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
163,164,1835,čalúnnik/čalúnnička,0,2,8,0,9,3,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
164,165,2504,čalúnnik/čalúnnička nábytku,0,2,5,0,9,3,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
165,166,826,čalúnnik/čalúnnička plavidiel,0,6,4,0,3,4,0,11,0,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0
166,167,2470,čalúnnik/čalúnnička vozidiel,0,7,2,0,3,2,0,11,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
167,168,1313,čalúnnik/čalúnnička železničných vozňov,0,6,4,0,2,4,0,11,0,1,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0
168,169,2598,čašník/čašníčka,0,4,2,0,12,0,2,3,0,1,16,0,0,0,0,0,0,2,0,0,0,0,1,0,0
169,170,2483,čatár/čatárka,0,1,2,0,7,0,6,0,0,0,6,0,1,2,1,0,0,4,0,0,0,0,0,0,0
170,171,2714,cenový špecialista/cenová špecialistka,2,10,0,0,5,0,3,0,0,6,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0
171,172,495,cestovinár/cestovinárka,0,7,3,0,7,1,1,9,0,0,6,0,1,8,0,0,0,1,0,0,1,0,1,0,0
172,173,519,cestovný poradca/cestovná poradkyňa,3,4,0,0,20,0,7,0,0,0,6,0,6,0,1,0,0,1,0,0,0,0,0,0,0
173,174,2822,chemický inžinier/chemická inžinierka,2,19,23,0,19,0,3,1,0,6,5,0,2,3,15,0,0,0,0,0,1,0,7,0,0
174,175,343,chemický špecialista technológ/chemická špecialistka technologička,0,3,2,0,6,0,4,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
175,176,677,chemický technik/chemická technička,0,14,7,0,3,0,5,2,0,2,4,0,2,6,7,0,0,2,0,0,0,0,1,0,0
176,177,2063,chemik kontrolór/chemička kontrolórka v kovospracujúcom priemysle,0,5,3,0,7,0,0,2,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
177,178,510,chemik metalurg/chemička metalurgička,0,10,11,0,4,1,0,2,0,1,3,0,0,3,2,0,0,0,0,0,1,0,0,0,0
178,179,175,chemik/chemička,1,23,6,0,24,0,3,5,1,1,4,0,4,3,16,0,0,1,0,0,0,1,3,0,0
179,180,230,chemik/chemička v kozmetickom priemysle,0,14,1,0,23,0,4,0,1,3,3,0,2,2,5,0,0,1,0,0,0,0,0,0,0
180,181,2696,chemik/chemička v parfumérskom priemysle,0,8,4,0,6,0,3,2,0,0,1,0,0,3,7,0,0,1,0,0,0,0,1,0,0
181,182,1055,chemik/chemička v textilnom priemysle,0,4,9,0,2,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
